1276.41 10.93652    10
1277. 10.93609    10
1277.58 10.93881    10
1278.17 10.9321    10
1278.75 10.93938    10
1279.33 10.93858    10
1279.92 10.9331    10
1280.5 10.94231    10
1281.09 10.93719    10
1281.67 10.93947    10
1282.25 10.93935    10
1282.84 10.94057    10
1283.42 10.93305    10
1284.01 10.93116    10
1284.59 10.93586    10
1285.17 10.93402    10
1285.76 10.92875    10
1286.34 10.93403    10
1286.93 10.93671    10
1287.51 10.94217    10
1288.09 10.93573    10
1288.68 10.9347    10
1289.26 10.93961    10
1289.85 10.94197    10
1290.43 10.94333    10
1291.01 10.94422    10
1291.6 10.94247    10
1292.18 10.9434    10
1292.77 10.94783    10
1293.35 10.9439    10
1293.93 10.9474    10
1294.52 10.94693    10
1295.1 10.95353    10
1295.69 10.94564    10
1296.27 10.94892    10
1296.85 10.94142    10
1297.44 10.95381    10
1298.02 10.9385    10
1298.6 10.9492    10
1299.19 10.94171    10
1299.77 10.94613    10
1300.36 10.943    10
1300.94 10.95254    10
1301.52 10.95113    10
1302.11 10.96583    10
1302.69 10.95662    10
1303.28 10.95552    10
1303.86 10.95068    10
1304.44 10.95318    10
1305.03 10.95052    10
1305.61 10.95491    10
1306.2 10.94585    10
1306.78 10.95346    10
1307.36 10.9511    10
1307.95 10.95451    10
1308.53 10.95668    10
1309.12 10.96444    10
1309.7 10.95937    10
1310.28 10.96659    10
1310.87 10.96645    10
1311.45 10.96778    10
1312.04 10.96597    10
1312.62 10.96714    10
1313.2 10.96422    10
1313.79 10.9692    10
1314.37 10.96593    10
1314.96 10.96332    10
1315.54 10.96664    10
1316.12 10.96749    10
1316.71 10.96227    10
1317.29 10.96392    10
1317.87 10.95898    10
1318.46 10.96427    10
1319.04 10.96737    10
1319.63 10.96762    10
1320.21 10.97504    10
1320.79 10.96711    10
1321.38 10.97667    10
1321.96 10.97524    10
1322.55 10.9724    10
1323.13 10.96608    10
1323.71 10.9761    10
1324.3 10.9781    10
1324.88 10.97153    10
1325.47 10.97446    10
1326.05 10.97338    10
1326.63 10.97636    10
1327.22 10.98197    10
1327.8 10.97224    10
1328.39 10.9693    10
1328.97 10.98045    10
1329.55 10.9756    10
1330.14 10.98006    10
1330.72 10.97712    10
1331.3 10.97869    10
1331.89 10.98341    10
1332.47 10.99094    10
1333.06 10.99631    10
1333.64 10.99977    10
1334.22 11.01286    10
1334.81 11.01203    10
1335.39 10.99309    10
1335.98 10.99587    10
1336.56 10.98663    10
1337.14 10.99443    10
1337.73 10.98265    10
1338.31 10.98897    10
1338.9 10.98628    10
1339.48 10.98659    10
1340.06 10.98006    10
1340.65 10.99401    10
1341.23 10.99244    10
1341.82 10.99113    10
1342.4 10.98756    10
1342.98 10.99576    10
1343.57 10.9913    10
1344.15 10.99626    10
1344.73 10.99051    10
1345.32 10.99091    10
1345.9 10.99335    10
1346.49 10.9933    10
1347.07 10.98943    10
1347.65 10.99228    10
1348.24 10.99459    10
1348.82 10.99629    10
1349.41 10.9998    10
1349.99 10.9975    10
1350.57 10.99461    10
1351.16 11.00027    10
1351.74 10.99971    10
1352.33 11.00197    10
1352.91 11.00113    10
1353.49 11.0031    10
1354.08 11.00169    10
1354.66 11.0032    10
1355.24 11.00287    10
1355.83 11.00174    10
1356.41 11.00123    10
1357. 11.00278    10
1357.58 11.00148    10
1358.16 11.00162    10
1358.75 11.00127    10
1359.33 11.00411    10
1359.92 11.00936    10
1360.5 11.00029    10
1361.08 11.00718    10
1361.67 11.00896    10
1362.25 11.00766    10
1362.84 11.00316    10
1363.42 11.00603    10
1364. 11.00989    10
1364.59 11.01424    10
1365.17 11.01492    10
1365.75 11.01178    10
1366.34 11.00956    10
1366.92 11.01645    10
1367.51 11.01324    10
1368.09 11.01455    10
1368.67 11.01144    10
1369.26 11.01999    10
1369.84 11.02094    10
1370.43 11.0179    10
1371.01 11.01487    10
1371.59 11.01888    10
1372.18 11.02011    10
1372.76 11.0217    10
1373.35 11.02608    10
1373.93 11.02042    10
1374.51 11.02318    10
1375.1 11.01372    10
1375.68 11.02647    10
1376.26 11.01954    10
