3080 10.955 20
3160 10.872 20
3240 10.798 20
3320 10.718 20
3400 10.663 20
3480 10.601 20
3560 10.536 20
3640 10.487 20
3680 10.452 20
3720 10.426 20
3760 10.307 20
3800 10.163 20
3840 10.157 20
3880 10.118 20
3920 10.121 20
3960 10.120 20
3980 10.091 20
4000 9.890 20
4020 9.866 20
4060 9.873 20
4100 9.941 20
4140 9.790 20
4200 9.765 20
4240 9.758 20
4260 9.760 20
4300 9.830 20
4340 9.869 20
4380 9.714 20
4400 9.690 20
4560 9.637 20
4760 9.843 20
4800 9.558 20
4820 9.574 20
4860 9.679 20
4900 9.535 20
4920 9.533 20
4960 9.531 20
5000 9.520 20
5120 9.491 20
5240 9.465 20
5400 9.434 20
5560 9.405 20
5760 9.374 20
6020 9.337 20
6420 9.294 20
6460 9.289 20
6500 9.290 20
6540 9.348 20
6560 9.406 20
6580 9.344 20
6620 9.282 20
6660 9.274 20
6700 9.270 20
6740 9.267 20
6780 9.262 20
7100 9.233 20
7460 9.216 20
7780 9.211 20
8100 9.200 20
8380 9.194 20
8780 9.194 20
9300 9.195 20
9700 9.195 20
9940 9.198 20
10260 9.199 20
10820 9.205 20
11140 9.210 20
12000 9.225 20
