 3100.0000 12.233 12.5
 3112.5000 12.239 12.5
 3125.0000 12.245 12.5
 3137.5000 12.252 12.5
 3150.0000 12.258 12.5
 3162.5000 12.264 12.5
 3175.0000 12.271 12.5
 3187.5000 12.277 12.5
 3200.0000 12.283 12.5
 3212.5000 12.289 12.5
 3225.0000 12.295 12.5
 3237.5000 12.302 12.5
 3250.0000 12.308 12.5
 3262.5000 12.314 12.5
 3275.0000 12.320 12.5
 3287.5000 12.326 12.5
 3300.0000 12.332 12.5
 3312.5000 12.338 12.5
 3325.0000 12.344 12.5
 3337.5000 12.350 12.5
 3350.0000 12.356 12.5
 3362.5000 12.362 12.5
 3375.0000 12.368 12.5
 3387.5000 12.374 12.5
 3400.0000 12.380 12.5
 3412.5000 12.386 12.5
 3425.0000 12.392 12.5
 3437.5000 12.398 12.5
 3450.0000 12.404 12.5
 3462.5000 12.410 12.5
 3475.0000 12.416 12.5
 3487.5000 12.422 12.5
 3500.0000 12.427 12.5
 3512.5000 12.433 12.5
 3525.0000 12.439 12.5
 3537.5000 12.445 12.5
 3550.0000 12.451 12.5
 3562.5000 12.456 12.5
 3575.0000 12.462 12.5
 3587.5000 12.468 12.5
 3600.0000 12.474 12.5
 3612.5000 12.479 12.5
 3623.5600 12.484 11.1
 3634.6200 12.490 11.1
 3645.6800 12.495 11.1
 3647.1200 12.495  1.4
 3647.2200 12.497  0.1
 3647.4700 12.497  0.2
 3647.9700 12.497  0.5
 3648.0000 12.497  0.0
 3648.2500 12.497  0.2
 3648.7500 12.497  0.5
 3649.7500 12.498  1.0
 3650.0000 12.498  0.2
 3650.5000 12.498  0.5
 3651.5000 12.498  1.0
 3653.5000 12.499  2.0
 3657.5000 12.501  4.0
 3660.0000 12.502  2.5
 3665.0000 12.503  5.0
 3670.0000 12.505  5.0
 3680.0000 12.509 10.0
 3682.8100 12.511  2.8
 3686.8300 12.512  4.0
 3690.0000 12.514  3.2
 3691.5500 12.514  1.6
 3694.6600 12.516  3.1
 3697.1500 12.517  2.5
 3700.0000 12.518  2.8
 3703.8500 12.520  3.8
 3711.5600 12.523  7.7
 3711.9700 12.523  0.4
 3712.7900 12.524  0.8
 3714.4400 12.524  1.7
 3717.7400 12.526  3.3
 3720.0000 12.527  2.3
 3721.9400 12.528  1.9
 3725.8100 12.530  3.9
 3733.5700 12.533  7.8
 3734.3700 12.533  0.8
 3735.9700 12.534  1.6
 3739.1800 12.535  3.2
 3740.0000 12.536  0.8
 3741.6400 12.536  1.6
 3744.9200 12.538  3.3
 3750.1500 12.540  5.2
 3760.0000 12.543  9.8
 3770.6300 12.547 10.6
 3780.0000 12.548  9.4
 3797.9000 12.558 17.9
 3800.0000 12.557  2.1
 3804.2000 12.554  4.2
 3812.6100 12.552  8.4
 3821.0200 12.558  8.4
 3829.4300 12.573  8.4
 3835.3800 12.586  6.0
 3841.3400 12.573  6.0
 3847.2900 12.562  5.9
 3850.0000 12.558  2.7
 3855.4100 12.555  5.4
 3860.8200 12.557  5.4
 3866.2300 12.563  5.4
 3871.6400 12.576  5.4
 3877.0500 12.596  5.4
 3882.4600 12.624  5.4
 3887.8800 12.654  5.4
 3889.0500 12.657  1.2
 3890.2200 12.654  1.2
 3891.4000 12.649  1.2
 3893.7400 12.635  2.3
 3898.4400 12.609  4.7
 3900.0000 12.601  1.6
 3903.1300 12.588  3.1
 3909.3800 12.567  6.2
 3915.6300 12.554  6.2
 3920.0000 12.549  4.4
 3928.7400 12.549  8.7
 3933.1000 12.554  4.4
 3937.4700 12.562  4.4
 3940.0000 12.568  2.5
 3945.0600 12.586  5.1
 3950.1200 12.611  5.1
 3955.1800 12.644  5.1
 3960.0000 12.686  4.8
 3964.5400 12.736  4.5
 3969.0700 12.797  4.5
 3970.0700 12.809  1.0
 3970.3200 12.807  0.2
 3970.8200 12.800  0.5
 3971.0700 12.797  0.2
 3971.5700 12.790  0.5
 3972.5600 12.777  1.0
 3974.5600 12.752  2.0
 3975.5400 12.740  1.0
 3977.5100 12.717  2.0
 3980.0000 12.692  2.5
 3984.9900 12.650  5.0
 3989.9700 12.618  5.0
 3990.0000 12.618  0.0
 3990.2500 12.617  0.2
 3990.7500 12.614  0.5
 3991.7500 12.609  1.0
 3993.7500 12.599  2.0
 3997.7500 12.583  4.0
 4000.0000 12.576  2.2
 4004.5000 12.563  4.5
 4013.5000 12.547  9.0
 4020.0000 12.541  6.5
 4033.0000 12.539 13.0
 4040.0000 12.543  7.0
 4047.0000 12.550  7.0
 4054.0000 12.562  7.0
 4060.0000 12.576  6.0
 4066.0000 12.595  6.0
 4072.0000 12.621  6.0
 4076.0000 12.644  4.0
 4080.0000 12.671  4.0
 4085.0000 12.715  5.0
 4087.5000 12.741  2.5
 4090.0000 12.771  2.5
 4092.5000 12.806  2.5
 4095.0000 12.846  2.5
 4095.3700 12.853  0.4
 4096.1100 12.867  0.7
 4097.5900 12.896  1.5
 4100.5500 12.961  3.0
 4100.7400 12.964  0.2
 4101.1200 12.968  0.4
 4101.7300 12.965  0.6
 4101.7400 12.965  0.0
 4101.9900 12.967  0.2
 4102.4900 12.968  0.5
 4102.7400 12.965  0.2
 4103.2400 12.956  0.5
 4104.2400 12.934  1.0
 4106.2400 12.892  2.0
 4106.3700 12.889  0.1
 4106.6300 12.884  0.3
 4107.1500 12.874  0.5
 4108.1900 12.855  1.0
 4110.0000 12.826  1.8
 4113.6200 12.776  3.6
 4117.2500 12.737  3.6
 4120.0000 12.712  2.8
 4125.5100 12.672  5.5
 4131.0200 12.642  5.5
