#     name        r           g-r       u-g       r-i      i-z
  SA10971         11.475     0.130     1.274     0.010     0.010    
  SA109381        11.514     0.547     1.477     0.223     0.094    
  SA109231         8.825     1.218     3.231     0.502     0.314    
  SA109537        10.201     0.456     1.449     0.191     0.079    
  Hilt733         10.939     0.827     1.102     0.410     0.260    
  Ross711         11.295     0.282     0.837     0.104     0.015    
  SA110232        12.287     0.552     1.390     0.237     0.094    
  SA110340        10.010     0.094     1.228    -0.039    -0.053    
  SA110499        11.399     0.827     2.036     0.473     0.332    
  SA110503        11.625     0.460     1.792     0.222     0.116    
  GJ745A          10.159     1.408     2.848     1.046     0.490    
  GJ745B          10.151     1.401     2.839     1.049     0.488    
  BD353659        10.089     0.333     0.925     0.117     0.022    
  SA111775        10.106     1.491     3.765     0.697     0.421    
  SA1111925       12.345     0.200     1.397     0.061     0.051    
  Wolf1346        11.753    -0.351    -0.016    -0.309    -0.291    
  SA112223        11.336     0.270     1.145     0.062     0.000    
  SA112250        11.962     0.352     1.162     0.116     0.008    
  SA112805        12.174    -0.087     1.183    -0.135    -0.090    
  SA112822        11.227     0.801     2.293     0.288     0.154    
  BD621916         9.332     0.540     1.568     0.171     0.061    
  SA113339        12.103     0.389     1.149     0.127     0.035    
  SA113466         9.908     0.275     1.125     0.073    -0.005    
  SA113259        11.376     0.933     2.705     0.336     0.193    
  SA113260        12.284     0.331     1.217     0.080     0.015    
  SA113475         9.979     0.817     2.255     0.318     0.166    
  BD284211        10.750    -0.511    -0.517    -0.379    -0.313    
  G93-48          12.961    -0.308     0.107    -0.307    -0.261    
  BD254655         9.929    -0.479    -0.427    -0.375    -0.328    
  Hilt1089        10.639     0.552     1.512     0.189     0.073    
  BD+174708        9.350     0.290     0.920     0.100     0.020    
  BD115781         9.178     0.720     1.966     0.236     0.130    
  SA114531        11.880     0.540     1.419     0.187     0.080    
  SA114654        11.672     0.449     1.398     0.137     0.040    
  SA114656        12.326     0.756     1.961     0.293     0.156    
  SA114548        11.135     1.120     3.146     0.442     0.252    
  SA114750        12.021    -0.212     0.548    -0.230    -0.163    
   G27-45         11.282     0.503     1.111     0.193     0.081    
  Ross786          9.706     0.540     1.221     0.224     0.093    
  GD246           13.346    -0.504    -0.491    -0.378    -0.367    
  BD384955        10.800     0.515     1.038     0.220     0.096    
  BD334737         8.840     0.572     1.653     0.177     0.062    
  PG2336004B      12.312     0.336     1.101     0.100     0.014    
  SA115420        11.063     0.290     1.091     0.080     0.007    
  SA115516        10.107     0.807     2.167     0.317     0.172    
